renewal_date,status,SAID,Chan.Prof
20130401,Converted,107031853849,Indirect
20130401,Loss,107031856227,Indirect
20130501,Loss,107031862831,Direct
20130401,Loss,107032729241,Unknown
20130401,Loss,107032848158,Direct
20130401,Loss,107033508482,Direct
20130401,Loss,107033569704,Indirect
20130401,Loss,107033583012,Direct
20130401,Loss,107033612080,Unknown
20130401,Loss,107033588156,Direct
20130401,Loss,107034008209,Direct
20130501,Loss,107034112906,Direct
20130401,Loss,107034148092,Direct
20130501,Converted,107034151705,Direct
20130401,Loss,107034283849,Direct
20130401,Loss,107034890495,Indirect
20130501,Converted,107034906150,Direct
20130501,Loss,107035379089,Direct
20130530,Loss,107035391268,Direct
20130401,Loss,107035446242,Direct
20130401,Loss,101758717746,Direct
20130401,Converted,107035880010,Direct
20130401,Converted,107036154205,Direct
20130401,Loss,107036156144,Direct
20130401,Loss,107036163291,Direct
20130501,Loss,107036781706,Indirect
20130401,Loss,107036939857,Indirect
20130501,Loss,107037004614,Direct
20130501,Loss,107037005803,Direct
20130501,Loss,107037111050,Indirect
20130501,Converted,107037116313,Direct
20130401,Loss,107037125476,Indirect
20130501,Loss,107037137367,Direct
20130501,Loss,107190748218,Direct
20130501,Loss,107037142279,Direct
20130501,Loss,107037801931,Indirect
20130501,Loss,107037829504,Direct
20130501,Converted,107037846477,Indirect
20130401,Loss,107037945512,Direct
20130401,Converted,107039320940,Indirect
20130307,Loss,107038085201,Direct
20130401,Loss,107038846404,Indirect
20130324,Loss,107039253617,Indirect
20130501,Loss,107039371400,Indirect
20130731,Converted,107040247205,Direct
20130401,Loss,107040472994,Direct
20130401,Loss,107040485548,Direct
20130626,Converted,107040499734,Direct
20130501,Loss,107040483762,Direct
20130501,Loss,107040929703,Indirect
20130401,Loss,107041254800,Direct
20130415,Loss,107041298446,Direct
20130701,Loss,107041301266,Direct
20130401,Converted,107041452054,Direct
20130501,Loss,107041476066,Direct
20130701,Converted,107041482090,Direct
20130501,Converted,107041534757,Indirect
20130501,Loss,107042153253,Direct
20130501,Loss,107042186548,Direct
20130415,Loss,107042986473,Direct
20130501,Loss,107042996129,Direct
20130501,Loss,107042999837,Direct
20130501,Converted,107043000540,Direct
20130501,Loss,107043375903,Indirect
20130501,Loss,107043381861,Indirect
20130501,Loss,107043385592,Direct
20130501,Converted,107043401776,Direct
20130501,Loss,107043482792,Indirect
20130601,Loss,107043499203,Indirect
20130601,Converted,107043704229,Direct
20130501,Loss,107043703336,Direct
